instance,testbed,family,z_ref,ref_status,proven,gap_ks-full,obj_ks-full,gap_ks-cg,obj_ks-cg,gap_fks-cg,obj_fks-cg
p1000-1000-1,Test Bed A,1000x1000,920505.22445,Proven Optimal,True,0.0,920505.22445,0.0,920505.22445,0.0,920505.22445
p1000-1000-2,Test Bed A,1000x1000,920834.16909,Proven Optimal,True,0.0,920834.16909,0.0,920834.16909,0.0,920834.16909
p1000-1000-3,Test Bed A,1000x1000,931305.42212,Proven Optimal,True,0.0,931305.422124,0.0,931305.422124,0.0,931305.422124
p1000-1000-4,Test Bed A,1000x1000,917951.67276,Proven Optimal,True,0.0,917951.67276,0.0,917951.67276,0.0,917951.67276
p1000-1000-5,Test Bed A,1000x1000,915635.3505,Proven Optimal,True,-0.0,915635.350496,-0.0,915635.350496,-0.0,915635.350496
p1000-1000-6,Test Bed A,1000x1000,530737.47132,Proven Optimal,True,0.0,530737.471322,0.0,530737.471322,0.0,530737.471322
p1000-1000-7,Test Bed A,1000x1000,570792.94414,Proven Optimal,True,-0.0,570792.944139,-0.0,570792.944139,-0.0,570792.944139
p1000-1000-8,Test Bed A,1000x1000,573827.77861,Proven Optimal,True,0.0,573827.77861,0.0,573827.77861,0.0,573827.77861
p1000-1000-9,Test Bed A,1000x1000,556686.44779,Proven Optimal,True,0.0,556686.447899,0.0,556686.447899,0.0,556686.44782
p1000-1000-10,Test Bed A,1000x1000,543599.7783,Proven Optimal,True,0.0,543599.778304,0.0,543599.778304,0.0,543599.778304
p1000-1000-11,Test Bed A,1000x1000,350069.26967,Proven Optimal,True,-0.0,350069.269655,-0.0,350069.269655,-0.0,350069.269655
p1000-1000-12,Test Bed A,1000x1000,311516.15073,Proven Optimal,True,0.0,311516.150735,0.0,311516.150735,0.0,311516.150735
p1000-1000-13,Test Bed A,1000x1000,331149.17475,Proven Optimal,True,0.0,331149.174757,0.0,331149.174757,0.0,331149.174757
p1000-1000-14,Test Bed A,1000x1000,334622.6107,Proven Optimal,True,0.002139,334629.768685,0.002469,334630.873363,0.000307,334623.637261
p1000-1000-15,Test Bed A,1000x1000,347407.29584,Proven Optimal,True,-0.0,347407.295837,-0.0,347407.295837,-0.0,347407.295837
p1000-1000-16,Test Bed A,1000x1000,95959.21666,Proven Optimal,True,-0.0,95959.216657,-0.0,95959.216657,-0.0,95959.216657
p1000-1000-17,Test Bed A,1000x1000,93998.80723,Proven Optimal,True,0.0,93998.807234,0.0,93998.807234,0.0,93998.807234
p1000-1000-18,Test Bed A,1000x1000,95737.23238,Proven Optimal,True,0.004087,95741.145501,0.0,95737.232382,0.0,95737.232382
p1000-1000-19,Test Bed A,1000x1000,91057.26173,Proven Optimal,True,-0.0,91057.261727,-0.0,91057.261727,-0.0,91057.261727
p1000-1000-20,Test Bed A,1000x1000,97280.06753,Proven Optimal,True,0.0,97280.067532,0.0,97280.067532,0.0,97280.067532
p1000-1000-21,Test Bed A,1000x1000,49884.82588,Proven Optimal,True,0.0,49884.825882,0.0,49884.825882,0.0,49884.825882
p1000-1000-22,Test Bed A,1000x1000,51137.53722,Proven Optimal,True,-0.0,51137.537219,-0.0,51137.537219,-0.0,51137.537219
p1000-1000-23,Test Bed A,1000x1000,50060.79298,Proven Optimal,True,0.011393,50066.496619,0.0,50060.792982,0.0,50060.792982
p1000-1000-24,Test Bed A,1000x1000,50504.31549,Proven Optimal,True,0.0,50504.315493,0.0,50504.315493,0.0,50504.315493
p1000-1000-25,Test Bed A,1000x1000,48338.05942,Proven Optimal,True,0.0,48338.05942,0.0,48338.05942,0.0,48338.05942
p1000-1000-26,Test Bed A,1000x1000,27490.95601,Proven Optimal,True,0.0,27490.956014,0.0,27490.956014,0.0,27490.956014
p1000-1000-27,Test Bed A,1000x1000,26586.94385,Proven Optimal,True,-0.0,26586.943846,-0.0,26586.943846,-0.0,26586.943846
p1000-1000-28,Test Bed A,1000x1000,26563.89072,Proven Optimal,True,-0.0,26563.890716,-0.0,26563.890716,-0.0,26563.890716
p1000-1000-29,Test Bed A,1000x1000,27859.42135,Proven Optimal,True,0.0373,27869.812878,-0.0,27859.421347,-0.0,27859.421347
p1000-1000-30,Test Bed A,1000x1000,26825.19503,Proven Optimal,True,-0.0,26825.195027,-0.0,26825.195027,-0.0,26825.195027
p800-4400-1,Test Bed A,800x4400,745157.62523,Proven Optimal,True,0.0,745157.625233,0.0,745157.625233,0.0,745157.625233
p800-4400-2,Test Bed A,800x4400,742345.88184,Proven Optimal,True,-0.0,742345.881838,-0.0,742345.881838,-0.0,742345.881838
p800-4400-3,Test Bed A,800x4400,747284.67896,Proven Optimal,True,0.0,747284.678965,0.001479,747295.734788,0.0,747284.678965
p800-4400-4,Test Bed A,800x4400,754884.22567,Proven Optimal,True,-0.0,754884.225668,-0.0,754884.225668,-0.0,754884.225668
p800-4400-5,Test Bed A,800x4400,749490.69026,Proven Optimal,True,0.001015,749498.295235,0.0,749490.690261,0.0,749490.690261
p800-4400-6,Test Bed A,800x4400,432590.79806,Best Known (Limit Exceeded),False,0.00161,432597.764848,0.00161,432597.764848,-0.000599,432588.207064
p800-4400-7,Test Bed A,800x4400,447436.80664,Proven Optimal,True,-0.0,447436.806636,-0.0,447436.806636,-0.0,447436.806636
p800-4400-8,Test Bed A,800x4400,468724.72501,Proven Optimal,True,-0.0,468724.725008,-0.0,468724.725008,-0.0,468724.725008
p800-4400-9,Test Bed A,800x4400,424875.9652,Proven Optimal,True,0.002903,424888.299241,0.002903,424888.299241,0.0,424875.9652
p800-4400-10,Test Bed A,800x4400,441218.45184,Proven Optimal,True,0.003694,441234.749841,0.003694,441234.749841,-0.0,441218.451651
