instance,obj_ks-full,lp_ks-full,time_ks-full,obj_ks-cg,lp_ks-cg,time_ks-cg,obj_fks-cg,lp_fks-cg,time_fks-cg,z_star,opt_source,opt_exact,gap_opt_ks-full,gap_opt_ks-cg,gap_opt_fks-cg
p2000-2000-1,1821914.258147,1821902.6379284929,1047.2976,1821914.125362,1821902.6379284903,320.613,1821914.12536,1821902.6379284903,29.3107,1821914.12536,CM2019,False,7.288323763823853e-06,1.0977549386920464e-10,0.0
p2000-2000-10,1032307.238861,1032290.8680254854,1274.3931,1032355.667717,1032290.8680254848,347.11,1032307.238861,1032290.8680254848,231.8077,,,,,,
p2000-2000-11,642712.79317,642693.4657153557,1390.7895,642712.79317,642693.4657153556,215.74,642711.600477,642693.4657153556,63.1132,,,,,,
p2000-2000-12,684920.95742,684901.1109289341,1295.6541,684920.95742,684901.1109289346,396.8416,684919.869562,684901.1109289346,108.1586,,,,,,
p2000-2000-13,648823.94554,648806.2190863217,1279.0688,648835.517585,648806.2190863228,582.5217,648821.968775,648806.2190863228,57.2172,648821.96878,CM2019,True,0.00030466909184771073,0.002088216128918057,-7.706332881835947e-10
p2000-2000-14,661298.62236,661293.61586563,1201.293,661298.62236,661293.6158656301,283.7641,661298.62236,661293.6158656301,29.3924,661298.62236,CM2019,True,0.0,0.0,0.0
p2000-2000-15,699292.799861,699276.811759899,1392.7966,699292.799861,699276.8117599002,491.4266,699290.016012,699276.8117599002,43.2963,699290.01601,CM2019,True,0.000398096774768608,0.000398096774768608,2.8600654709735474e-10
p2000-2000-16,183581.518867,183553.18039058015,1156.1698,183581.518867,183553.1803905803,614.064,183580.508718,183553.1803905803,98.6136,183580.50872,CM2019,True,0.0005502474129943103,0.0005502474129943103,-1.089448571055654e-09
p2000-2000-17,192332.358067,192307.53604305087,916.1923,192332.358067,192307.5360430509,647.6664,192332.358067,192307.5360430509,176.7913,192332.35807,CM2019,True,-1.5597966820319417e-09,-1.5597966820319417e-09,-1.5597966820319417e-09
p2000-2000-18,181463.628561,181434.02391919369,920.6839,181455.709192,181434.02391919377,573.3374,181451.616871,181434.02391919377,104.2759,181451.61687,CM2019,False,0.006619776228612024,0.0022553240751463006,5.511152954948977e-10
p2000-2000-19,185587.065113,185561.03229386816,826.2883,185587.065113,185561.032293868,529.2349,185587.065113,185561.032293868,97.6998,185587.06511,CM2019,True,1.6164885941116187e-09,1.6164885941116187e-09,1.6164885941116187e-09
p2000-2000-2,1848143.743209,1848112.993047485,1212.387,1848143.743209,1848112.9930474807,429.477,1848136.286535,1848112.9930474807,39.3161,1848136.28654,CM2019,True,0.0004034696496294361,0.0004034696496294361,-2.7054487858293735e-10
